# BUSCO version is: 5.5.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2024-01-08, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
7376at50557	Complete	ptg000142l:47039296-46835506	47039296	46835506	-	1725.4	1057	https://v10-1.orthodb.org/?query=7376at50557	Leucine-rich repeat
7426at50557	Complete	ptg000062l:4688797-4692684	4688797	4692684	+	1207.8	755	https://v10-1.orthodb.org/?query=7426at50557	DNA mitochondrial polymerase, exonuclease domain
7704at50557	Complete	ptg000052l:12574107-12506654	12574107	12506654	-	1115.5	965	https://v10-1.orthodb.org/?query=7704at50557	Rapamycin-insensitive companion of mTOR, domain 4
7835at50557	Complete	ptg000021l:29627446-29772493	29627446	29772493	+	1057.3	705	https://v10-1.orthodb.org/?query=7835at50557	MIF4G-like domain superfamily
7968at50557	Complete	ptg000021l:22290051-22222338	22290051	22222338	-	845.6	705	https://v10-1.orthodb.org/?query=7968at50557	WASH complex subunit 7, central domain
8280at50557	Complete	ptg000012l:37591198-37684592	37591198	37684592	+	1601.8	1128	https://v10-1.orthodb.org/?query=8280at50557	Leucine-rich repeat
8312at50557	Complete	ptg000051l:63082532-63012575	63082532	63012575	-	654.8	690	https://v10-1.orthodb.org/?query=8312at50557	Elongator complex protein 1
8417at50557	Complete	ptg000009l:6859131-6928354	6859131	6928354	+	1260.8	815	https://v10-1.orthodb.org/?query=8417at50557	Integrator complex subunit 2
8547at50557	Complete	ptg000203l:358298-434819	358298	434819	+	657.3	662	https://v10-1.orthodb.org/?query=8547at50557	Protein kinase domain
8602at50557	Complete	ptg000090l:3182385-3292244	3182385	3292244	+	1143.8	695	https://v10-1.orthodb.org/?query=8602at50557	PAN/Apple domain
8655at50557	Complete	ptg000012l:89537686-89471677	89537686	89471677	-	1371.1	953	https://v10-1.orthodb.org/?query=8655at50557	Sec7 domain
8717at50557	Complete	ptg000745l:9969296-10068819	9969296	10068819	+	1875.9	1022	https://v10-1.orthodb.org/?query=8717at50557	Ras guanine-nucleotide exchange factors catalytic domain
8721at50557	Complete	ptg000010l:6074469-6028994	6074469	6028994	-	1141.5	884	https://v10-1.orthodb.org/?query=8721at50557	Cysteine-rich Golgi apparatus protein 1 repeat
8842at50557	Complete	ptg000041l:42381754-42445622	42381754	42445622	+	1241.9	898	https://v10-1.orthodb.org/?query=8842at50557	P-type ATPase, cytoplasmic domain N
9432at50557	Complete	ptg000038l:1371864-1285780	1371864	1285780	-	1430.0	1259	https://v10-1.orthodb.org/?query=9432at50557	Integrator complex subunit 1
9680at50557	Complete	ptg000081l:21594789-21373916	21594789	21373916	-	896.5	659	https://v10-1.orthodb.org/?query=9680at50557	DOMON domain
9996at50557	Complete	ptg000083l:23675880-23602791	23675880	23602791	-	1442.4	865	https://v10-1.orthodb.org/?query=9996at50557	Exportin-1, C-terminal
10008at50557	Complete	ptg000096l:4267719-4190220	4267719	4190220	-	1357.1	934	https://v10-1.orthodb.org/?query=10008at50557	Pleckstrin homology domain
10268at50557	Complete	ptg000041l:80123436-80004421	80123436	80004421	-	1200.2	729	https://v10-1.orthodb.org/?query=10268at50557	Endonuclease/exonuclease/phosphatase
10394at50557	Complete	ptg000074l:11230748-11029974	11230748	11029974	-	735.1	722	https://v10-1.orthodb.org/?query=10394at50557	PDZ domain
10664at50557	Complete	ptg000083l:12961920-13036697	12961920	13036697	+	1632.9	927	https://v10-1.orthodb.org/?query=10664at50557	Importin repeat 4
10915at50557	Complete	ptg000012l:108717406-108684589	108717406	108684589	-	1431.3	954	https://v10-1.orthodb.org/?query=10915at50557	WD40 repeat
10998at50557	Complete	ptg000016l:55998666-55777468	55998666	55777468	-	406.9	269	https://v10-1.orthodb.org/?query=10998at50557	Dbl homology (DH) domain
11128at50557	Complete	ptg000130l:5194321-5310056	5194321	5310056	+	1114.4	671	https://v10-1.orthodb.org/?query=11128at50557	Formin, FH3 domain
11161at50557	Complete	ptg000075l:13352406-13268387	13352406	13268387	-	1356.5	856	https://v10-1.orthodb.org/?query=11161at50557	Importin-beta, N-terminal domain
11224at50557	Complete	ptg000051l:52749157-52822507	52749157	52822507	+	1142.6	618	https://v10-1.orthodb.org/?query=11224at50557	CUB domain
11473at50557	Complete	ptg000082l:43376982-43450904	43376982	43450904	+	438.3	287	https://v10-1.orthodb.org/?query=11473at50557	NHL repeat
11478at50557	Complete	ptg000082l:100727293-100788526	100727293	100788526	+	1314.7	920	https://v10-1.orthodb.org/?query=11478at50557	WD40-repeat-containing domain
11510at50557	Complete	ptg000005l:21987615-21573517	21987615	21573517	-	1967.4	1080	https://v10-1.orthodb.org/?query=11510at50557	Cyclic nucleotide-binding domain
11763at50557	Complete	ptg000005l:70829786-70783259	70829786	70783259	-	1548.5	843	https://v10-1.orthodb.org/?query=11763at50557	FACT complex subunit Spt16 domain
12010at50557	Complete	ptg000071l:3768539-3645143	3768539	3645143	-	786.7	586	https://v10-1.orthodb.org/?query=12010at50557	Vacuolar protein sorting-associated protein 54, C-terminal
12051at50557	Complete	ptg000004l:48838793-48934499	48838793	48934499	+	1412.3	748	https://v10-1.orthodb.org/?query=12051at50557	Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
12236at50557	Complete	ptg000107l:5631951-5673223	5631951	5673223	+	1352.8	792	https://v10-1.orthodb.org/?query=12236at50557	Coatomer subunit beta
12466at50557	Complete	ptg000078l:8840976-8786440	8840976	8786440	-	1332.9	877	https://v10-1.orthodb.org/?query=12466at50557	RUN domain
12503at50557	Complete	ptg000019l:9586382-9773196	9586382	9773196	+	967.9	632	https://v10-1.orthodb.org/?query=12503at50557	Mediator complex subunit Med13, C-terminal
12555at50557	Complete	ptg000042l:5131342-4778822	5131342	4778822	-	682.9	474	https://v10-1.orthodb.org/?query=12555at50557	Ankyrin repeat
12735at50557	Complete	ptg000012l:28838374-28890409	28838374	28890409	+	633.0	337	https://v10-1.orthodb.org/?query=12735at50557	WD40 repeat
12821at50557	Complete	ptg000075l:19024586-19062118	19024586	19062118	+	707.0	504	https://v10-1.orthodb.org/?query=12821at50557	Cold shock domain
13112at50557	Complete	ptg000160l:2253426-2221218	2253426	2221218	-	631.6	366	https://v10-1.orthodb.org/?query=13112at50557	Toll/interleukin-1 receptor homology (TIR) domain
13158at50557	Complete	ptg000142l:29319219-29419621	29319219	29419621	+	1077.4	614	https://v10-1.orthodb.org/?query=13158at50557	Carboxylesterase, type B
13223at50557	Complete	ptg000142l:50365007-50441400	50365007	50441400	+	1003.1	569	https://v10-1.orthodb.org/?query=13223at50557	von Willebrand factor, type A
13553at50557	Complete	ptg000281l:496438-505591	496438	505591	+	1114.4	710	https://v10-1.orthodb.org/?query=13553at50557	WD40 repeat
13582at50557	Complete	ptg000083l:50884386-50953917	50884386	50953917	+	641.9	470	https://v10-1.orthodb.org/?query=13582at50557	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
13612at50557	Complete	ptg000030l:18116160-18159407	18116160	18159407	+	753.1	667	https://v10-1.orthodb.org/?query=13612at50557	XPG N-terminal
13625at50557	Complete	ptg000062l:12579219-12651328	12579219	12651328	+	1144.7	732	https://v10-1.orthodb.org/?query=13625at50557	WD40 repeat
13778at50557	Complete	ptg000038l:40982375-40985188	40982375	40985188	+	1172.4	744	https://v10-1.orthodb.org/?query=13778at50557	UNC-45/Cro1/She4, central domain
13828at50557	Complete	ptg000047l:15544216-15482725	15544216	15482725	-	968.2	559	https://v10-1.orthodb.org/?query=13828at50557	Peptidase S8/S53 domain
13892at50557	Complete	ptg000004l:36354465-36418047	36354465	36418047	+	1079.0	697	https://v10-1.orthodb.org/?query=13892at50557	Beta-N-acetylglucosaminidase
14125at50557	Complete	ptg000016l:1284286-1207399	1284286	1207399	-	542.7	594	https://v10-1.orthodb.org/?query=14125at50557	WW domain
14133at50557	Complete	ptg000083l:494337-461835	494337	461835	-	507.1	474	https://v10-1.orthodb.org/?query=14133at50557	Zinc finger C2H2-type
14335at50557	Complete	ptg000047l:9068773-9021700	9068773	9021700	-	893.6	661	https://v10-1.orthodb.org/?query=14335at50557	Exocyst complex component 2
14380at50557	Complete	ptg000040l:62074885-61909268	62074885	61909268	-	420.9	379	https://v10-1.orthodb.org/?query=14380at50557	EGF-like calcium-binding, conserved site
14512at50557	Complete	ptg000022l:4636169-4577806	4636169	4577806	-	592.7	444	https://v10-1.orthodb.org/?query=14512at50557	Katanin p80 WD40 repeat-containing subunit B1
14653at50557	Complete	ptg000230l:450400-395344	450400	395344	-	1201.3	836	https://v10-1.orthodb.org/?query=14653at50557	TRAPP II complex, Trs120
14825at50557	Complete	ptg000025l:84189319-84139873	84189319	84139873	-	470.1	487	https://v10-1.orthodb.org/?query=14825at50557	Saposin B type, region 2
15309at50557	Complete	ptg000020l:10616012-10565829	10616012	10565829	-	790.5	606	https://v10-1.orthodb.org/?query=15309at50557	Aminoacyl-tRNA synthetase, class II
15331at50557	Complete	ptg000041l:41697017-41655397	41697017	41655397	-	973.6	674	https://v10-1.orthodb.org/?query=15331at50557	CLEC16A/TT9, N-terminal
15341at50557	Complete	ptg000049l:33618077-33770102	33618077	33770102	+	482.6	227	https://v10-1.orthodb.org/?query=15341at50557	Dual specificity phosphatase, catalytic domain
15445at50557	Complete	ptg000062l:4949420-4978539	4949420	4978539	+	1281.1	723	https://v10-1.orthodb.org/?query=15445at50557	RNA cytidine acetyltransferase
15532at50557	Complete	ptg000038l:33218191-33265272	33218191	33265272	+	1217.7	726	https://v10-1.orthodb.org/?query=15532at50557	SAC domain
15573at50557	Complete	ptg000062l:3911148-3695135	3911148	3695135	-	431.1	347	https://v10-1.orthodb.org/?query=15573at50557	SH3 domain
15589at50557	Complete	ptg000044l:416576-451395	416576	451395	+	1336.5	701	https://v10-1.orthodb.org/?query=15589at50557	pre-mRNA-splicing factor SYF1
15684at50557	Complete	ptg000004l:54160470-54119903	54160470	54119903	-	1098.5	793	https://v10-1.orthodb.org/?query=15684at50557	DNA-directed RNA polymerase
15817at50557	Complete	ptg000040l:5848602-5899849	5848602	5899849	+	1486.9	791	https://v10-1.orthodb.org/?query=15817at50557	Ras GTPase-activating domain
15852at50557	Complete	ptg000031l:5054753-5051958	5054753	5051958	-	1531.7	779	https://v10-1.orthodb.org/?query=15852at50557	Pre-mRNA-processing factor 6
16156at50557	Complete	ptg000082l:84315569-84276118	84315569	84276118	-	634.6	599	https://v10-1.orthodb.org/?query=16156at50557	nuclear pore complex protein Nup107
16250at50557	Complete	ptg000071l:5722844-5777200	5722844	5777200	+	428.5	351	https://v10-1.orthodb.org/?query=16250at50557	NHL repeat
16279at50557	Complete	ptg000492l:468767-365065	468767	365065	-	1406.7	679	https://v10-1.orthodb.org/?query=16279at50557	Sec23/Sec24, helical domain
16323at50557	Complete	ptg000030l:10854887-10789789	10854887	10789789	-	415.4	419	https://v10-1.orthodb.org/?query=16323at50557	Immunoglobulin-like domain
16683at50557	Complete	ptg000096l:2183311-2160915	2183311	2160915	-	1154.1	683	https://v10-1.orthodb.org/?query=16683at50557	Zinc finger, RING-CH-type
16714at50557	Complete	ptg000082l:100937594-101022145	100937594	101022145	+	712.9	489	https://v10-1.orthodb.org/?query=16714at50557	Lipin, middle domain
17115at50557	Complete	ptg000005l:19795644-19559002	19795644	19559002	-	572.9	420	https://v10-1.orthodb.org/?query=17115at50557	Myotubularin-related 12-like C-terminal domain
17387at50557	Complete	ptg000049l:43948786-43992923	43948786	43992923	+	1171.6	628	https://v10-1.orthodb.org/?query=17387at50557	Hid-1/Ecm30
17536at50557	Complete	ptg000025l:45923793-46056898	45923793	46056898	+	758.7	601	https://v10-1.orthodb.org/?query=17536at50557	Serine proteases, trypsin domain
17610at50557	Complete	ptg000082l:106090811-106024917	106090811	106024917	-	1171.6	627	https://v10-1.orthodb.org/?query=17610at50557	AP-1 complex subunit gamma
17628at50557	Complete	ptg000041l:93011471-92965823	93011471	92965823	-	605.1	427	https://v10-1.orthodb.org/?query=17628at50557	DNA polymerase, Y-family, little finger domain
17638at50557	Complete	ptg000033l:2916358-3069512	2916358	3069512	+	1406.1	823	https://v10-1.orthodb.org/?query=17638at50557	Protein patched/dispatched
17813at50557	Complete	ptg000041l:36089506-36050849	36089506	36050849	-	1327.3	750	https://v10-1.orthodb.org/?query=17813at50557	Protein kinase domain
18170at50557	Complete	ptg000078l:43669188-43595376	43669188	43595376	-	1192.2	875	https://v10-1.orthodb.org/?query=18170at50557	WASH complex, subunit strumpellin
18400at50557	Complete	ptg000072l:5908039-5915814	5908039	5915814	+	985.0	598	https://v10-1.orthodb.org/?query=18400at50557	Far11/STRP, C-terminal
18450at50557	Complete	ptg000012l:74079324-74049498	74079324	74049498	-	1307.2	739	https://v10-1.orthodb.org/?query=18450at50557	Helicase, C-terminal
18453at50557	Complete	ptg000010l:21629432-21730978	21629432	21730978	+	769.4	520	https://v10-1.orthodb.org/?query=18453at50557	Ras guanine-nucleotide exchange factors catalytic domain
18458at50557	Complete	ptg000016l:7790036-7873546	7790036	7873546	+	686.2	528	https://v10-1.orthodb.org/?query=18458at50557	Zinc finger, double-stranded RNA binding
18461at50557	Complete	ptg000041l:65355773-65250649	65355773	65250649	-	999.4	614	https://v10-1.orthodb.org/?query=18461at50557	Suppressor of forked
18561at50557	Complete	ptg000015l:11650559-11614928	11650559	11614928	-	1260.7	672	https://v10-1.orthodb.org/?query=18561at50557	Putative G-protein coupled receptor 158
18575at50557	Complete	ptg000024l:8441774-8366799	8441774	8366799	-	1097.8	775	https://v10-1.orthodb.org/?query=18575at50557	Helicase, C-terminal
18605at50557	Complete	ptg000005l:115678420-115714784	115678420	115714784	+	941.5	567	https://v10-1.orthodb.org/?query=18605at50557	Serine/threonine-protein phosphatase 4 regulatory subunit 3
18619at50557	Complete	ptg000009l:431963-405604	431963	405604	-	664.8	643	https://v10-1.orthodb.org/?query=18619at50557	G-patch domain
18644at50557	Complete	ptg000082l:34138939-34169208	34138939	34169208	+	830.8	574	https://v10-1.orthodb.org/?query=18644at50557	anaphase-promoting complex subunit 2
18668at50557	Complete	ptg000038l:26977155-27017056	26977155	27017056	+	643.8	360	https://v10-1.orthodb.org/?query=18668at50557	Lipase/vitellogenin
19158at50557	Complete	ptg000038l:39937668-39891678	39937668	39891678	-	735.8	647	https://v10-1.orthodb.org/?query=19158at50557	Pre-mRNA-processing factor 39
19244at50557	Complete	ptg000040l:33825873-33865123	33825873	33865123	+	667.1	519	https://v10-1.orthodb.org/?query=19244at50557	Zinc finger, CCHC-type
19262at50557	Complete	ptg000024l:9788083-9705776	9788083	9705776	-	1053.5	712	https://v10-1.orthodb.org/?query=19262at50557	Integrator complex subunit 3
19276at50557	Complete	ptg000081l:19625623-19669242	19625623	19669242	+	813.1	610	https://v10-1.orthodb.org/?query=19276at50557	Winged helix-like DNA-binding domain superfamily
19336at50557	Duplicated	ptg000005l:91734666-91643408	91734666	91643408	-	453.0	341	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	ptg000028l:10139087-10137732	10139087	10137732	-	480.3	531	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	ptg000028l:12946264-12947601	12946264	12947601	+	458.9	544	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	ptg000039l:1823185-1821779	1823185	1821779	-	486.4	514	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	ptg000039l:1912929-1911853	1912929	1911853	-	485.1	541	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	ptg000040l:73353122-73354288	73353122	73354288	+	460.9	499	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	ptg000089l:7921507-7920095	7921507	7920095	-	521.9	548	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	ptg000100l:42868-43938	42868	43938	+	451.6	524	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	ptg000414l:361431-360019	361431	360019	-	464.4	522	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	ptg000414l:752104-750815	752104	750815	-	486.5	499	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19423at50557	Complete	ptg000038l:42415357-42522312	42415357	42522312	+	843.7	538	https://v10-1.orthodb.org/?query=19423at50557	SH3 domain
19653at50557	Complete	ptg000142l:33780818-33952229	33780818	33952229	+	751.7	508	https://v10-1.orthodb.org/?query=19653at50557	Sterol-sensing domain
19754at50557	Complete	ptg000049l:38454619-38491022	38454619	38491022	+	1010.5	687	https://v10-1.orthodb.org/?query=19754at50557	WD40/YVTN repeat-like-containing domain superfamily
20035at50557	Complete	ptg000281l:1026834-1042420	1026834	1042420	+	1030.5	750	https://v10-1.orthodb.org/?query=20035at50557	Peptidase M16, C-terminal
20198at50557	Complete	ptg000015l:26602603-26510185	26602603	26510185	-	359.5	560	https://v10-1.orthodb.org/?query=20198at50557	SCAR/WAVE family
20283at50557	Complete	ptg000056l:20608852-20656976	20608852	20656976	+	929.3	686	https://v10-1.orthodb.org/?query=20283at50557	Symplekin/Pta1, N-terminal
20299at50557	Complete	ptg000025l:68957071-68827234	68957071	68827234	-	604.1	456	https://v10-1.orthodb.org/?query=20299at50557	C2 domain
20375at50557	Complete	ptg000046l:1956240-1977578	1956240	1977578	+	572.0	444	https://v10-1.orthodb.org/?query=20375at50557	Rad4 beta-hairpin domain 1
20404at50557	Complete	ptg000131l:6775764-6824577	6775764	6824577	+	912.8	626	https://v10-1.orthodb.org/?query=20404at50557	SNF2-related, N-terminal domain
20515at50557	Complete	ptg000025l:7547292-7450652	7547292	7450652	-	1086.3	684	https://v10-1.orthodb.org/?query=20515at50557	Aminopeptidase
20640at50557	Complete	ptg000300l:50202-278608	50202	278608	+	1103.5	711	https://v10-1.orthodb.org/?query=20640at50557	Vinculin/alpha-catenin
20805at50557	Complete	ptg000052l:549602-465823	549602	465823	-	333.2	351	https://v10-1.orthodb.org/?query=20805at50557	RNA polymerase II assembly factor Rtp1, C-terminal
20817at50557	Complete	ptg000010l:8523599-8561268	8523599	8561268	+	860.3	494	https://v10-1.orthodb.org/?query=20817at50557	WW domain
20997at50557	Complete	ptg000038l:1006402-961406	1006402	961406	-	582.7	397	https://v10-1.orthodb.org/?query=20997at50557	MyTH4 domain
21101at50557	Complete	ptg000074l:18666748-18646640	18666748	18646640	-	1398.6	815	https://v10-1.orthodb.org/?query=21101at50557	Eukaryotic translation initiation factor 3 subunit C
21322at50557	Complete	ptg000004l:54594466-54418011	54594466	54418011	-	362.0	324	https://v10-1.orthodb.org/?query=21322at50557	Basic leucine zipper domain, Maf-type
21580at50557	Complete	ptg000081l:46296668-46271192	46296668	46271192	-	971.4	607	https://v10-1.orthodb.org/?query=21580at50557	Exocyst complex component
21787at50557	Complete	ptg000082l:47612874-47883164	47612874	47883164	+	655.0	428	https://v10-1.orthodb.org/?query=21787at50557	Protein-tyrosine phosphatase receptor IA-2 ectodomain
21911at50557	Complete	ptg000068l:3252922-3289703	3252922	3289703	+	790.1	453	https://v10-1.orthodb.org/?query=21911at50557	Polycystin cation channel, PKD1/PKD2
22030at50557	Complete	ptg000230l:1003927-963203	1003927	963203	-	692.0	383	https://v10-1.orthodb.org/?query=22030at50557	WD40 repeat
22096at50557	Complete	ptg000005l:20412782-20242628	20412782	20242628	-	945.0	762	https://v10-1.orthodb.org/?query=22096at50557	Importin-beta, N-terminal domain
22300at50557	Complete	ptg000009l:67524672-67496802	67524672	67496802	-	1056.3	560	https://v10-1.orthodb.org/?query=22300at50557	Aminoacyl-tRNA synthetase, class II
22348at50557	Complete	ptg000025l:55296654-55266204	55296654	55266204	-	1126.9	573	https://v10-1.orthodb.org/?query=22348at50557	PAN/Apple domain
22613at50557	Complete	ptg000004l:14461493-14374930	14461493	14374930	-	786.2	700	https://v10-1.orthodb.org/?query=22613at50557	Thrombospondin type-1 (TSP1) repeat
22661at50557	Complete	ptg000024l:13084548-13016772	13084548	13016772	-	466.6	468	https://v10-1.orthodb.org/?query=22661at50557	CCAAT-binding factor
22706at50557	Complete	ptg000009l:6192717-6139771	6192717	6139771	-	707.3	597	https://v10-1.orthodb.org/?query=22706at50557	RINT-1/Tip20
22836at50557	Complete	ptg000185l:4340563-4319443	4340563	4319443	-	892.2	536	https://v10-1.orthodb.org/?query=22836at50557	Autophagy-related protein 9
22862at50557	Complete	ptg000001l:49071381-49098091	49071381	49098091	+	930.7	712	https://v10-1.orthodb.org/?query=22862at50557	Ribosomal RNA methyltransferase, Spb1, C-terminal
23294at50557	Complete	ptg000016l:60534831-60575057	60534831	60575057	+	740.8	473	https://v10-1.orthodb.org/?query=23294at50557	Protein kinase domain
23366at50557	Complete	ptg000081l:48907597-49003364	48907597	49003364	+	898.6	562	https://v10-1.orthodb.org/?query=23366at50557	Vinculin/alpha-catenin
