			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
PAMFEO_rnd-4_family-1508	DNA	hAT-Charlie	182	0	128	583	856	1206	3123	10390	17059	21236	36782	30386	16549	17283	7923	4397	2514	1581	171	552	77	66	86	120	93	399	113	650	594	403	329	251	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-1023	Unknown	Unknown	1067	1654	6952	35668	90469	86900	80499	54260	26379	17010	10089	3815	1860	581	808	245	293	76	154	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-526	Unknown	Unknown	0	0	48	182	91	319	565	1394	2163	2639	4537	4060	5550	6912	8332	6591	7364	6451	4968	4335	3212	2720	1738	1007	1245	1089	519	485	558	335	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-3230	DNA	hAT-hAT19	50	0	105	230	771	2088	2617	6801	12968	27284	61255	66099	65681	67167	51351	36395	26397	14444	8672	6394	3175	2097	2333	985	1012	789	785	125	115	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-3594	Unknown	Unknown	143	3739	8568	5713	9982	3153	3872	16315	12376	9091	4863	3588	1087	267	355	454	139	606	463	559	487	0	576	201	177	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0252_SO2_FAM1250	Unknown	Unknown	0	0	0	0	0	0	33	0	46	0	138	0	301	265	457	0	1036	1202	2151	4046	5346	8043	10466	11431	7579	8966	6473	3731	2525	913	1182	1896	1044	2361	1875	1370	561	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1538_SO2_FAM2490	DNA	hAT-Blackjack	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	7	48	114	76	0	83	288	91	515	58	144	357	553	90	758	134	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-376	DNA	hAT-Tip100	1972	6736	69429	457942	857555	584401	187664	58463	73183	111987	143295	76525	23982	11444	6107	1633	904	186	340	149	145	290	0	12	53	0	57	0	0	56	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-3_family-617	LINE	I-Jockey	200	353	1257	1971	5183	8354	13756	34874	56119	71472	88536	68638	55200	36788	21822	17201	10744	7622	7584	5031	3853	1410	1424	452	847	717	90	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-3223	DNA	Sola-1	0	0	253	1640	3528	3236	27750	89274	46440	11793	6302	4909	5232	5312	4829	4178	1850	2036	1327	757	741	285	103	46	123	1001	82	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-895	Unknown	Unknown	200	50	10451	92572	199362	98836	61566	34343	32279	36318	28383	18574	19340	29888	33943	33587	32857	27016	24562	20812	16540	13116	8511	9440	7267	2944	4317	3048	806	1723	664	782	481	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-6_family-1101	LINE	I-Jockey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	75	0	0	0	0	0	0	0	0	300	0	448	450	3217	324	0	355	423	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-807	DNA	hAT-hAT19	212	362	789	1780	4384	10900	25152	59888	104363	118281	116831	99946	86361	82842	60769	44327	32284	19395	10451	5017	2109	1249	922	684	1055	1817	1011	2424	966	676	1019	412	235	41	134	103	227	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2952_SO2_FAM1076	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2478_SO2_FAM0054	LTR	Gypsy	0	0	0	28	0	36	0	0	0	0	0	0	0	62	0	0	57	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-345	Unknown	Unknown	438	341	1589	3717	5690	10703	5172	5007	5249	3729	1901	1758	1727	1521	1773	1661	1459	1333	295	1006	1005	396	217	0	0	64	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0975_SO2_FAM1953	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-878	DNA	TcMar-Mariner	0	0	0	0	0	0	0	41	116	41	369	691	2399	1049	1800	2384	4517	4637	4557	8045	10231	11421	11091	12531	10006	8527	6134	4177	3051	1464	307	127	230	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-5_family-689	DNA	TcMar-Mariner	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	97	39	0	167	0	47	116	1059	1257	876	174	1154	2046	5986	6619	5765	5841	4928	2192	938	1076	0	125	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-153	RC	Helitron	499	1666	13880	88346	192207	177381	149977	124911	93948	57742	48752	28199	33721	27875	31759	43285	56622	58791	51366	40517	39659	27772	21835	23914	22909	10964	1720	422	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-6_family-1017	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	119	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G7_DM	LINE	I-Jockey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	58	0	0	59	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-4821	Unknown	Unknown	436	5070	12094	22273	12716	8582	4073	1660	343	888	411	912	493	322	0	0	129	204	0	68	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-4634	Unknown	Unknown	134	69	499	1190	866	1249	2937	2754	4495	3904	4995	4772	4687	4671	3805	10730	7219	36930	13519	10563	50993	12172	16590	7692	4569	4433	2340	1283	802	186	52	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-4_family-1610	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	72	0	82	76	59	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-5220	LINE	RTE-BovB	0	0	0	0	0	0	0	56	1111	93	1098	69	1270	2423	910	418	1794	2746	1158	886	1556	469	3869	1071	1605	4338	4472	852	758	2375	632	143	275	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-1118	DNA	TcMar-m44	0	0	0	0	43	40	98	80	145	52	147	442	93	142	137	265	87	94	42	48	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-1111	DNA	hAT-Charlie	32	1149	17339	103680	170415	136223	54182	18903	9468	4477	1410	412	117	137	131	991	1139	578	937	622	74	549	198	737	535	483	683	1294	1123	1752	2157	1782	1139	656	267	302	0	34	0	165	0	0	0	0	0	0	0	0	0	0
TE2791_SO2_FAM0864	Unknown	Unknown	0	0	0	0	0	0	0	74	56	0	0	0	0	0	0	0	0	0	45	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-4278	DNA	TcMar-Tigger	26	0	41	209	0	201	154	219	379	621	909	3688	2632	4374	11985	10494	13198	14379	12818	11421	11780	9865	4748	2093	1111	1056	737	384	221	228	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2594_SO2_FAM0656	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-231	Unknown	Unknown	1405	2542	11403	32058	95635	179436	220773	232687	229145	208898	164990	84292	37348	17968	8243	2236	1254	866	317	51	148	6	140	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-6970	Unknown	Unknown	0	239	314	82	389	2833	6419	6358	7380	5882	5335	4432	4493	3610	4070	3071	3508	4528	4171	3292	2773	1391	1259	872	316	89	739	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-9115	DNA	MULE-MuDR	0	0	45	61	0	0	182	321	1925	1323	4117	4887	8895	11947	12364	14460	12789	7042	11348	8831	6066	5548	4981	2416	2463	1359	1183	1172	422	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2775_SO2_FAM0085	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-4366	RC	Helitron	84	172	349	599	2953	8097	15615	33930	41957	29173	12616	7859	4142	2325	1220	478	307	557	1594	4667	2893	3469	4066	9638	6705	3690	18919	5568	1079	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-1076	LINE	L2	635	5402	32855	67729	45010	30939	19576	10934	10214	10362	5519	3239	2837	2014	1675	1073	1046	2815	2213	1484	1590	1040	2936	2248	1921	1580	910	186	367	111	585	178	64	415	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-424	Unknown	Unknown	7403	38855	63608	35443	26400	29093	28458	33395	28532	31030	25120	24115	23547	21475	21155	19604	21093	15132	13010	8484	4280	3832	1834	1373	541	378	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-5000	Unknown	Unknown	2460	5416	7345	4537	2190	1146	497	297	315	162	125	263	187	70	0	0	140	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-748	RC	Helitron	0	0	36	0	0	0	0	51	80	41	56	43	48	208	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-5_family-1170	DNA	PiggyBac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	54	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-8669	Unknown	Unknown	41	370	0	766	1063	295	1327	1773	798	2104	1244	1054	890	591	956	367	165	186	175	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0992_SO2_FAM0197	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2751_SO2_FAM0824	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	47	102	0	68	0	0	0	0	0	56	134	61	0	130	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-702	DNA	TcMar-m44	0	0	112	0	119	227	1439	1844	6566	9059	19291	25094	33888	31968	20631	18013	7572	5256	3472	2685	992	652	400	157	75	140	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-11255	Unknown	Unknown	169	0	0	675	462	855	2936	6262	11352	19879	32126	27341	22988	11659	4421	3717	6207	437	4560	1442	495	528	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nMar-2_Hecal	DNA	TcMar-Mariner	0	0	0	0	0	0	0	0	0	33	37	68	33	462	165	339	219	94	283	252	564	303	1750	1616	3264	2518	4273	2521	5422	5623	7294	7231	4911	2438	1617	175	156	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-9009	DNA	TcMar-Mariner	67	0	193	116	927	598	1834	1495	1671	3317	5966	3808	5735	6374	3822	2696	1161	981	1060	707	716	966	971	1839	1404	1859	2310	1352	848	511	235	405	257	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-541	Unknown	Unknown	0	13296	3971	1389	4355	24331	8644	15791	39791	29262	72856	68428	62863	47501	31642	22860	20012	12698	5660	3360	3677	1476	954	994	471	510	0	606	326	265	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-456	Unknown	Unknown	558	11234	24999	13998	4064	938	1102	596	716	418	674	239	636	3377	2160	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2706_SO2_FAM0778	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE3119_SO2_FAM1914	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	72	56	0	71	38	75	0	45	0	0	0	0	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-3330	Unknown	Unknown	9097	13380	12306	7720	3988	2930	1278	458	509	210	173	121	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-1_family-721	LINE	L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-3_family-1976	DNA	hAT-hAT19	239	187	322	739	1188	4857	10733	21643	30705	38923	35291	32224	40931	39040	47170	69829	47937	38871	24434	11584	7186	3861	2814	3859	3870	4100	3793	2109	1656	1052	1093	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1456_SO2_FAM2414	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	31	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-9518	Unknown	Unknown	1708	2630	9388	14143	18968	20506	16668	15962	12092	8912	6123	2088	1059	443	444	91	48	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halyomorpha_halys-1_family-541	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-1158	DNA	hAT-hATm	531	1426	10581	42139	59561	55975	35253	20463	8220	4522	2784	3100	978	198	110	0	64	68	118	107	0	0	96	179	0	0	0	77	77	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-4071	Unknown	Unknown	224	81	425	3789	13521	14241	11978	4531	10796	9196	6048	5534	4608	4110	3232	3651	3478	3411	2830	1201	1117	1996	1278	486	1083	2724	652	768	421	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-2897	Unknown	Unknown	76	53	128	413	2127	585	2306	3666	2162	4053	4980	3122	6289	3956	4301	6487	4518	3673	2728	857	2451	983	588	910	614	407	191	27	64	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2371_SO2_FAM0432	Unknown	Unknown	0	0	0	0	19	0	66	27	130	300	386	127	183	122	175	101	260	228	480	86	183	488	170	40	44	41	0	0	0	29	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0943_SO2_FAM1921	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	60	48	0	73	123	149	153	275	515	438	503	470	830	492	160	152	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-2313	DNA	TcMar-Tc1	0	124	422	1270	1923	5426	7992	6746	4638	4233	2224	1599	2723	3968	2084	2477	2074	2297	1643	807	726	710	736	1350	846	1554	6878	5829	2342	1279	675	722	906	364	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-1072	DNA	TcMar-Mariner	3380	5724	8368	13586	8156	9073	5229	3343	2307	688	1023	198	89	75	174	58	70	7	58	0	105	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-1102	Unknown	Unknown	27465	63113	14596	32632	19149	3661	0	1096	627	1015	1780	1309	2239	3133	1356	762	853	905	433	677	897	250	722	0	658	390	151	0	152	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE0816_SO2_FAM1796	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	43	47	183	187	171	135	188	358	144	192	205	202	282	87	134	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-544	Unknown	Unknown	1057	5061	52275	182978	223329	131588	53405	18229	6039	1899	443	573	109	0	117	0	229	1616	1381	5326	7941	19667	23392	29639	27251	14825	10571	5977	2522	487	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1382_SO2_FAM2344	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	55	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-966	DNA	TcMar-Tc1	1940	5811	6317	3610	5197	7046	10167	7141	8677	3894	3286	1338	1101	533	531	628	146	264	375	491	1274	1098	1631	2304	1515	1463	1191	1547	1822	1575	867	566	373	169	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTE-6_Hmel_D	LINE	RTE	0	0	0	0	0	0	31	0	0	55	0	0	0	0	88	117	0	686	379	41	99	243	1167	853	884	1908	521	1069	1055	2993	3935	2208	9078	2609	880	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-251	DNA	Sola-1	0	0	0	138	75	150	154	241	45	180	108	151	199	2	419	124	510	356	317	323	262	206	151	428	103	215	355	258	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-8300	Unknown	Unknown	185	679	1273	4244	10534	9551	9292	6869	3481	2010	1374	261	105	44	153	220	0	0	0	0	817	553	250	859	604	359	279	347	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-5644	Unknown	Unknown	127	417	1366	989	3323	6803	8952	8115	8820	4941	6891	7773	7188	5914	3706	4348	4025	2936	1225	1357	605	728	630	313	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-4503	Unknown	Unknown	0	0	0	0	0	104	202	348	860	1869	1807	2457	3181	4078	5991	2735	3048	2959	2038	710	817	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-401	Unknown	Unknown	12520	60133	97529	55720	30588	13555	6314	2838	962	551	148	0	514	259	474	0	291	417	0	0	187	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-3632	DNA	PIF-Harbinger	14404	62162	23853	1838	1603	3576	8811	7847	4230	6302	7690	823	263	222	1457	207	295	0	323	0	59	0	0	0	50	160	0	0	0	0	0	106	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-320	Unknown	Unknown	901	3264	7369	16095	27800	43733	45812	46719	47463	38254	30798	23329	13084	7903	4303	2963	2063	895	764	498	107	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-749	DNA	hAT	1919	6902	16727	20433	4760	29572	17512	12288	7751	3423	4596	3049	1935	1161	416	509	260	170	13	194	0	36	0	0	0	70	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE2673_SO2_FAM0738	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-159	Unknown	Unknown	0	0	0	0	0	0	0	0	69	53	59	113	621	455	191	1351	1820	2488	3358	4787	4350	5981	6324	5391	5662	4708	3165	1405	413	0	0	90	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-5_family-252	RC	Helitron	0	0	0	0	312	0	337	687	780	456	5385	15446	12614	7023	2892	4236	1759	259	858	1170	470	423	221	387	392	0	2780	3901	3063	1406	2096	3479	3480	693	98	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-4_family-2907	DNA	TcMar-Tc1	149	63	2238	2125	6309	14949	29349	37194	34112	34742	24628	15096	13418	6200	3655	1294	1071	677	1343	847	593	713	488	660	1242	1027	1305	1736	1666	1827	2589	3371	1557	3657	7031	2403	2889	1167	0	175	0	0	0	0	0	0	0	0	0	0
Baggins1	LINE	R1-LOA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	46	0	162	65	149	0	475	551	23	567	598	845	1310	219	548	841	191	0	0	0	0	0	0	0	0	0	0	0	0
RTE-3_Hmel_C	LINE	RTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	50	0	0	72	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAMFEO_rnd-1_family-651	Unknown	Unknown	314	214	1880	5028	8580	21540	18670	29677	30169	28145	20800	22771	15343	18466	18493	9384	8922	2841	4004	1240	833	792	545	206	218	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE1144_SO2_FAM2113	Unknown	Unknown	0	0	0	0	0	37	45	124	0	0	104	43	80	88	57	249	154	429	545	506	218	421	522	348	0	145	447	362	489	753	976	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
